name,degree,review num,address,tel
마리오네,4.3,523.0,서울 성동구 광나루로2길 23-1 1층,02-466-6777
쎈느,3.8,59.0,"서울 성동구 연무장5길 20 1,2층",02-469-2122
전봇대집,3.0,168.0,서울 성동구 살곶이길 18 성동안심상가 마장청계점 3층 302호,02-2294-0875
성수아구찜탕,3.6,19.0,서울 성동구 왕십리로4길 10 1층,02-465-4346
팩피,3.8,245.0,서울 성동구 왕십리로 136 102호,
외가집,4.0,252.0,서울 성동구 연무장길 17 1층,02-463-0748
나라구한닭정통닭갈비 왕십리점,3.9,212.0,서울 성동구 무학봉28길 19 강문빌딩 1층,02-2292-7370
로컬릿,3.7,350.0,서울 성동구 한림말길 33 2층,02-2282-1124
왕십리오리사냥,3.9,91.0,서울 성동구 행당로17길 7,02-2282-2838
권식족발,4.2,30.0,서울 성동구 아차산로7길 4 1층,02-465-8516
스시메이 성수점,4.1,196.0,서울 성동구 연무장7길 7-1 2층,02-466-4918
메종 파이프그라운드,3.6,869.0,서울 성동구 왕십리로 83-21 서울숲 디타워 지하1층,0507-139-8762
춘향미엔,4.3,264.0,서울 성동구 왕십리로21길 26 1층,02-2281-9031
고깃집왕고을,4.3,116.0,서울 성동구 왕십리로24길 10-2 1층,02-2292-3399
센터커피 서울숲점,3.8,330.0,서울 성동구 서울숲2길 28-11 1층,070-8868-2008
바스버거 성수점,3.5,159.0,서울 성동구 왕십리로8길 16 1층,02-464-6674
인더매스 마장,4.4,374.0,서울 성동구 마장로 270 1층,02-6084-8996
훈연,4.0,779.0,서울 성동구 서울숲4길 22-7 오리진블루빌딩 1층,010-7616-7330
마를리,3.5,768.0,서울 성동구 연무장길 47 홍원빌딩 1층,02-467-0303
온량,3.7,394.0,서울 성동구 서울숲4길 26-10 1층,02-6403-3643
다로베,3.9,302.0,서울 성동구 왕십리로11길 7 1층,02-465-3666
서울숲누룽지통닭구이,3.7,322.0,"서울 성동구 왕십리로5길 10 1, 2층",02-462-9920
호랑이초밥,4.0,123.0,서울 성동구 아차산로7길 14,02-498-4499
어메이징브루잉컴퍼니 성수브루펍,4.2,46.0,서울 성동구 성수일로4길 4 1층,02-465-5208
누데이크 성수,3.5,685.0,서울 성동구 성수이로7길 26 1층,070-4128-4408
뺑드에코,4.5,139.0,서울 성동구 연무장길 44 2층,010-3510-4730
르프리크,4.3,866.0,서울 성동구 연무장5길 9-16 B103호,02-2054-0119
호호식당 성수동점,3.2,142.0,서울 성동구 서울숲4길 25,02-498-2384
위풍당당족발,3.7,621.0,서울 성동구 성수일로8길 53 1층,02-465-3323
성수베이킹스튜디오,4.6,616.0,서울 성동구 서울숲2길 46 지하1층,02-468-0789
블루보틀 성수 카페,3.2,570.0,서울 성동구 아차산로 7,1533-6906
뜨아아아 커피집,3.9,394.0,서울 성동구 고산자로12길 1-1 1층,
악어떡볶이,3.7,439.0,서울 성동구 마조로 33 1층,02-2281-9988
오레노카츠 성수본점,3.7,313.0,서울 성동구 성수일로 47 1층 102호,02-499-0323
비사벌 전주콩나물국밥,4.2,136.0,서울 성동구 왕십리로6길 1-2 1층,02-464-8704
본앤브레드 신관레스토랑,3.4,88.0,"서울 성동구 마장로42길 1 지하1층,1-3층",02-2294-5005
청기와타운 왕십리점,4.1,31.0,서울 성동구 왕십리광장로 17 1층 C-04호,02-2299-1474
부부요리단,3.2,11.0,서울 성동구 독서당로40길 25-1 1층,02-2295-5886
쵸리상경 성수점,3.7,718.0,서울 성동구 서울숲4길 18-8 2층,02-6402-0085
금룡,3.2,33.0,서울 성동구 마조로 21 1층,02-2299-4676
아이오쓰리 성수사거리점,4.7,34.0,서울 성동구 성수이로20길 60 1층,02-497-1961
장모족발 서울1호점,4.6,37.0,서울 성동구 마조로 15-10 1층,02-2294-0327
성수지앵,4.4,567.0,서울 성동구 왕십리로 101 1-2층,0507-1416-7502
평이담백뼈칼국수 성수점,3.4,552.0,"서울 성동구 상원10길 10 지하1층, 1층",070-8870-6879
스시이치바,4.3,230.0,서울 성동구 왕십리로14길 8,02-6338-2318
달인의족발 본점,4.4,12.0,서울 성동구 무학로2길 37,02-2295-4000
오근내7닭갈비 성수낙낙점,4.0,359.0,"서울 성동구 아차산로17길 48 성수 SK V1 CENTER 1층 R107, R108호",02-2205-8889
슈퍼말차 성수,3.8,239.0,서울 성동구 서울숲6길 19 1층,070-4632-3882
라부슈뒤루아,3.9,54.0,서울 성동구 송정18가길 33 지하1층 101호,
쌍둥이집,4.9,44.0,서울 성동구 살곶이길 18 성동안심상가 마장청계점 4층 403호,02-2295-3878
행운돈까스,3.7,186.0,서울 성동구 마조로1길 2,02-2296-3406
천상가옥,3.6,578.0,서울 성동구 성수이로14길 14 3층,
모리티아,3.6,59.0,서울 성동구 아차산로5길 10 1층,02-460-8733
누메로도스,3.9,440.0,서울 성동구 상원1길 35-9 1층,02-468-7943
로우커피스탠드,4.5,192.0,서울 성동구 왕십리로4길 28-2 1층,010-4334-2387
리얼월드 성수,4.6,406.0,"서울 성동구 연무장13길 8 1,2층",02-6011-1072
옥수해물찜칼국수,3.0,95.0,서울 성동구 독서당로40길 37 2층,02-2292-3335
규카츠정 성수점,4.3,652.0,서울 성동구 아차산로 96 지하1층 101호,02-499-5009
갈매기의 꿈 본점,3.7,210.0,서울 성동구 무학로2나길 1 1층,02-2281-1854
프라이데이무브먼트,3.8,56.0,서울 성동구 왕십리로14길 7 1층,02-6012-4862
미테이블 성수본점,4.8,882.0,서울 성동구 왕십리로8길 5 1층,02-461-0089
홍성집,4.0,203.0,서울 성동구 왕십리로5길 12 1~3층,010-7616-7330
삼삼뼈국 장한평역점,3.4,70.0,서울 성동구 천호대로 420 1층,
훔볼트,3.7,110.0,"서울 성동구 성수이로 58 P타워 지하 1층, 1, 2층",
원조사철냉면,4.1,70.0,서울 성동구 마조로 17,02-2293-0959
메시,4.2,204.0,서울 성동구 상원2길 3 1층,02-461-1121
빠오즈푸 서울숲점,4.0,145.0,서울 성동구 왕십리로6길 13 1층,02-499-9256
벱,4.2,449.0,서울 성동구 성수일로4가길 2 1층,070-7644-4502
봉밀가 서울숲점,4.3,140.0,서울 성동구 왕십리로 50 메가박스스퀘어 2층,0507-1433-2015
까사아지오,3.4,189.0,"서울 성동구 연무장5가길 20 지하1층,1층",0507-1428-9194
하동진,3.5,117.0,서울 성동구 행당로17길 17 1층,02-6405-7001
아키야마,4.6,248.0,서울 성동구 아차산로7나길 18 1층 106호,02-499-1757
갓잇 성수점,4.4,18.0,서울 성동구 연무장7가길 10 1층,070-7773-9451
파르코,3.8,336.0,서울 성동구 서울숲2길 44 1층,02-467-8588
뺑드미제빵소 한양대점,4.3,19.0,서울 성동구 마조로9길 5 1층,070-4250-2338
청춘극장 행당직영점,4.2,693.0,서울 성동구 행당로 112-5 1층,02-2294-6995
춘천집닭갈비 한양대점,3.5,13.0,서울 성동구 마조로7길 7-1,
치카 성수,4.4,389.0,서울 성동구 뚝섬로1가길 14 1층,02-498-3478
우촌숯불갈비,4.1,91.0,서울 성동구 장터길 44-1 1층,02-2292-9072
왕십리 육감식당,4.3,273.0,서울 성동구 무학봉28길 1 1층,02-2291-6092
야마타니우동,4.5,49.0,서울 성동구 왕십리로21길 11 1층,02-2292-4677
양평회관,3.8,435.0,"서울 성동구 마조로7길 16 1,2층",
길이식당 한양대점,4.3,22.0,서울 성동구 사근동길 21-1 1층,02-2281-8822
먹거리장터2,3.6,126.0,서울 성동구 행당로17길 16 1층,
카페&펍 연무장,3.5,286.0,서울 성동구 연무장길 36 8층,
홍화돈,3.7,451.0,서울 성동구 왕십리로4길 23-1 1층,02-464-7988
장어시대,3.1,52.0,서울 성동구 고산자로10길 8 행당빌딩 1층,02-2294-9981
몽실이네명품토종한우,3.6,28.0,서울 성동구 마장로35길 70 1층,02-2299-3365
행복한식당,4.8,272.0,서울 성동구 아차산로9길 30 1층,02-467-9277
홍보석,4.3,57.0,서울 성동구 성덕정7길 13 1층,02-3409-3311
정선부뚜막,3.5,131.0,서울 성동구 서울숲6길 14 1층,02-499-8253
한우드림,4.1,95.0,서울 성동구 고산자로 297 1층,
철남,4.6,19.0,서울 성동구 마조로3길 4 1층,02-2295-4837
귀일만두,4.6,28.0,서울 성동구 장터길 31 1층,010-4310-1066
장어구이,4.2,184.0,서울 성동구 마조로 19-10 1층,02-2294-8999
한양대양꼬치,3.7,24.0,서울 성동구 마조로1가길 20 1층,02-2294-2645
아웃백스테이크하우스 왕십리역사점,3.6,224.0,서울 성동구 왕십리광장로 17 2층,02-2292-9131
세스크멘슬 본점,3.9,179.0,서울 성동구 성수이로14길 7 1층,02-6082-0393
이랑닭한마리칼국수,4.6,49.0,서울 성동구 성수이로7길 7 서울숲한라시그마밸리 1층 102호,02-514-2888
왕십리연탄집,3.3,965.0,서울 성동구 무학로6길 51 1층,02-2291-9073
서울맛집,4.2,49.0,서울 성동구 성덕정15길 6-9 1층,02-465-2533
서산 식당,4.6,17.0,서울 성동구 아차산로13길 6 2층,02-463-3638
서울브루어리 성수 SEOUL BREWERY,4.2,118.0,서울 성동구 연무장길 28-12,02-3409-7910
서울왕족발보쌈,4.3,30.0,서울 성동구 마조로3가길 27 1층,02-2297-4008
SOUND CLASKA,3.1,65.0,"서울 성동구 연무장15길 11 B동 3층 301~302, 313호",02-497-8001
고기싸롱 왕십리점,3.1,55.0,서울 성동구 왕십리로 410 센트라스153타워 1층 101~104호,02-2281-0502
시골집,4.8,83.0,서울 성동구 성수이로 36-9 1층,010-8668-6241
비엔나커피하우스 서울숲역점,3.8,34.0,서울 성동구 왕십리로 66 1층,070-4628-5049
하츠,4.2,82.0,서울 성동구 광나루로11길 7 1층,010-2925-6189
성수동간판없는집,4.3,243.0,서울 성동구 성수일로 59-1 1층,010-559-2634
순곱이네 한양대점,4.0,93.0,서울 성동구 마조로1길 40-1 1층,02-6338-1817
갱생,4.2,353.0,서울 성동구 마조로7길 5 지하1층,0507-1403-3454
애리꼼닭발,4.0,340.0,서울 성동구 왕십리로22길 3,02-2299-3838
베통 성수,4.6,243.0,서울 성동구 연무장7가길 8,02-499-1112
옥수동화덕피자,3.7,119.0,서울 성동구 한림말3길 27-1 2층,010-2629-3334
캘프 옥수,4.7,87.0,서울 성동구 한림말3길 10 1층,070-8691-3327
해물명가,3.1,50.0,서울 성동구 금호로11길 4 1층,02-2231-6446
변산반도 고향집,4.6,42.0,서울 성동구 살곶이길 18 성동안심상가 마장청계점 2층 203호,0502-5551-2489
한입베이글,4.4,434.0,서울 성동구 뚝섬로 317 1층,0507-1327-0124
연평도목포산꽃게,3.2,504.0,서울 성동구 마장로 323 1층,02-2294-6565
따우전드 성수점,3.6,270.0,서울 성동구 연무장1길 7 1층,0507-1407-8332
구테로이테 성수점,4.1,201.0,서울 성동구 연무장13길 9 아이템플 1층,070-8648-1983
푸줏간생고기점,4.4,121.0,서울 성동구 행당로17길 24,02-2297-7361
카멜 성수점,3.4,212.0,서울 성동구 성덕정19길 6 1층,
양대포,4.5,658.0,서울 성동구 마조로 17 2층,02-2294-9222
왕초바베큐,4.6,411.0,서울 성동구 마장로26길 14 1층,02-2296-0119
메이플탑 팬케이크클럽,3.9,612.0,서울 성동구 성수이로14길 14 성수연방 2층,02-3789-4427
칙피스 성수점,4.0,279.0,서울 성동구 연무장5길 9-16 블루스톤타워 1층 101호,0507-1352-0248
글로우,3.4,171.0,서울 성동구 아차산로9길 20 1층,
포틀러,4.0,120.0,서울 성동구 왕십리로 82-20 A동 1층,02-464-0054
꿉당 성수점,3.9,564.0,서울 성동구 성수이로20길 10 1층,
치커리생구이,5.0,58.0,서울 성동구 용답중앙15길 14 1층,02-3394-5551
대엽,3.9,94.0,서울 성동구 왕십리로2길 36 1층 3호,
업사이드커피 뚝섬점,4.4,75.0,서울 성동구 왕십리로14길 19-1 1층,
메이탄 성수점,3.2,149.0,서울 성동구 왕십리로 50 메가박스스퀘어빌딩 2층,02-6085-1080
기미사,4.2,129.0,"서울 성동구 성수이로26길 47 지하1, 1층",070-8672-9385
키베이커리,4.6,131.0,서울 성동구 성수일로 11-2 1층,02-823-9360
최영희언양불고기,3.1,764.0,서울 성동구 무학봉28길 21 1층,02-2294-6077
마하차이,3.9,156.0,서울 성동구 뚝섬로 399 2층,02-468-5678
라온석갈비 성수본점,3.3,12.0,서울 성동구 성수이로 119 덕산빌딩 1층,02-466-1616
타코까나스따,4.7,31.0,서울 성동구 동호로2길 28 1층,0503-7151-3433
심마니약초백숙,4.3,66.0,서울 성동구 성덕정13길 4 1층,02-466-9368
5TO7,3.8,996.0,"서울 성동구 서울숲2길 44-13 1,2층",0507-1333-7616
유가츠,4.0,128.0,서울 성동구 서울숲4길 12-7 지하1층,02-499-4273
스마일즉석떡볶이,3.8,79.0,서울 성동구 마조로 39,02-2291-3279
스시존,4.0,28.0,서울 성동구 마조로7길 4 1층,070-4045-5253
신의한국수,4.5,13.0,서울 성동구 광나루로 320-1 가동 1층,010-6351-8680
섬타르 서울숲,4.0,193.0,서울 성동구 서울숲2길 24-8,
커피식탁,3.9,14.0,서울 성동구 상원1길 15,02-499-9029
전부치는도사,4.7,11.0,서울 성동구 마조로3길 8 1층,02-2299-3535
땅코참숯구이 성수직영점,3.9,259.0,서울 성동구 연무장13길 4 1층,02-466-6908
스타벅스 서울숲역,3.6,59.0,서울 성동구 왕십리로 50 메가박스 스퀘어 1층,1522-3232
한남일류초밥,3.0,12.0,서울 성동구 한림말길 37 1층,02-2294-3428
브라운팟,3.9,48.0,서울 성동구 무학봉28길 16 1층,02-2299-2201
한양양곱창,3.6,74.0,"서울 성동구 마조로 17 한양시장 51, 52호",02-2296-9255
카모메 한양대점,3.9,416.0,서울 성동구 마조로 17 1층 4호,02-6397-3454
마장골한우숯불구이,3.8,10.0,서울 성동구 마장로31길 40 2층,02-2292-0092
콩물에빠진두부 옥수본점,3.7,38.0,서울 성동구 한림말1길 8 1층,02-2282-1464
베이크모굴,4.4,269.0,서울 성동구 서울숲2길 17 1-2층,0507-1357-0401
터틀힙 성수,5.0,49.0,서울 성동구 왕십리로14길 23 1층,010-4291-8799
심퍼티쿠시 성수점,4.7,784.0,서울 성동구 아차산로 6 누디트 서울숲 3층 R5호,070-4101-1408
소문난성수감자탕 별관,4.0,56.0,서울 성동구 연무장7길 4 해피드림 1층,
이오로 성수점,3.7,177.0,서울 성동구 연무장5길 18 1층,02-498-0702
봉순이네다락방,3.6,186.0,서울 성동구 왕십리로21길 13-1 지하1~2층,02-2299-8057
예빈당,3.4,244.0,서울 성동구 성수이로 87 성문빌딩 1층,02-3443-5542
갓잇 서울숲점,4.6,497.0,서울 성동구 왕십리로10길 9-14 1층,02-6339-1231
리사르커피 성수점,4.9,19.0,서울 성동구 성수일로12길 26 서울숲코리아IT센터 1층 108호,0502-5551-4835
사운드 플래닛,3.4,86.0,서울 성동구 서울숲6길 20 지하 1층,02-466-3863
부원냉면,3.9,41.0,서울 성동구 장터길 39 1층,02-2253-5042
스시도쿠겐 왕십리본점,4.7,725.0,서울 성동구 왕십리로 295 1층,02-3395-0023
닭한마리,3.7,54.0,서울 성동구 아차산로 96,
스시히나타,4.7,241.0,서울 성동구 무학로2길 16 2층,02-3395-5888
왕십리정부네곱창 본점,3.4,25.0,서울 성동구 고산자로 287 1층,02-2298-0595
클레멘타인,3.3,356.0,서울 성동구 서울숲2길 5-1 1-2층,070-8802-3511
다반,3.1,822.0,서울 성동구 서울숲4길 18-10 1층,
원기옥,3.8,235.0,서울 성동구 아차산로17길 48 1층 109호,02-468-2999
크우익가든,4.1,18.0,서울 성동구 고산자로2길 4-1 1층,02-2292-5558
명륜진사갈비 서울용답점,3.1,83.0,서울 성동구 천호대로 328 금관빌딩 1층,02-2248-1800
그굴,4.5,159.0,서울 성동구 마조로3길 9 1층,010-4730-6797
Mr박의돈워리,4.1,46.0,서울 성동구 청계천로 494 1층,
깡통집,4.2,29.0,서울 성동구 광나루로6길 49 1층,
보후밀,4.4,93.0,서울 성동구 뚝섬로17길 29 1층,010-8094-8179
거창식당,4.4,16.0,서울 성동구 고산자로14길 12-1 1층,02-2294-2473
파머스카페,4.0,972.0,서울 성동구 왕십리로6길 11 1층,02-464-4222
나누리잡화점,3.3,315.0,서울 성동구 연무장길 47 1층,
왕돈까스&왕냉면 뚝섬점,3.0,11.0,서울 성동구 왕십리로 107 1층,02-468-8848
삼원옥수해천탕,4.3,86.0,서울 성동구 독서당로 160 한남하이츠 아파트 상가 103호,010-5093-5326
일품생고기,3.2,22.0,서울 성동구 독서당로40길 29 1층,02-2295-6566
피치스 도원,3.2,413.0,서울 성동구 연무장3길 9 1층,02-468-7719
색다른면,4.3,15.0,서울 성동구 뚝섬로9길 16 지층 101호,02-464-6009
투파인드피터 성수점,4.1,99.0,서울 성동구 아차산로 97 남영빌딩 2층 207호,02-6949-5156
테니,3.4,563.0,서울 성동구 뚝섬로17가길 55 1층,02-466-3094
고공 성수본점,3.7,89.0,서울 성동구 왕십리로8길 10,02-6368-5050
파벤,4.1,70.0,서울 성동구 성수이로 67 1층 101호,070-8888-4565
밀도 옥수점,4.2,15.0,서울 성동구 독서당로 223 래미안옥수리버젠 상가동 1층,02-2296-4516
너즐,5.0,18.0,서울 성동구 서울숲6길 14 거암아트빌라 4층,02-567-6065
서우,3.9,100.0,서울 성동구 서울숲2길 32-14 갤러리아포레 지하 1층 117호,02-464-5333
부산밀면,4.5,92.0,서울 성동구 연무장5가길 7 103호,02-2223-2021
더코너키친,4.1,115.0,서울 성동구 한림말3길 8 1층,02-6448-9090
심가네한우고집 마장본점,4.1,16.0,서울 성동구 마조로19길 7 1층,02-2281-1214
우웨이탕,3.6,44.0,서울 성동구 상원1길 11-1 1층,070-7807-2888
오하이오옥수,4.5,12.0,서울 성동구 한림말길 48 옥수하이츠아파트 상가동 1층 105호,02-2298-8085
신명먹거리,4.6,35.0,서울 성동구 상원6길 3 1층,02-464-8075
마케나이데,4.5,129.0,서울 성동구 독서당로 270 대우 월드타운 상가 1층 106호,02-2299-0527
끄트머리집,4.3,86.0,서울 성동구 마조로3길 8 1층,02-2292-8574
한성식당,3.9,22.0,서울 성동구 뚝섬로4길 5,02-466-7718
RSG,3.9,79.0,"서울 성동구 연무장15길 11 에스팩토리 C동 1층 109,110호",
일품백송칼국수&설렁탕,3.7,356.0,서울 성동구 고산자로12길 1-1 1층,02-466-2090
무색 MUSAEK,4.7,394.0,서울 성동구 상원2길 1-10 2층,010-3449-8662
수제비먹는닭갈비 본점,3.0,171.0,서울 성동구 왕십리로21다길 39 1층,02-2299-8557
해탄 왕십리역점,3.0,114.0,서울 성동구 마조로1길 39 2층,02-2282-5728
호갱,3.8,225.0,서울 성동구 왕십리로24길 18 3층,
그리노,4.5,70.0,서울 성동구 성수이로 147,
척스탭하우스,4.4,71.0,서울 성동구 독서당로40길 33 2층,02-2281-3943
바이닐 성수,3.7,415.0,서울 성동구 아차산로 15-8 디에스빌딩 2층,
대구집,3.8,52.0,서울 성동구 살곶이길 18 성동안심상가 마장청계점 502호,02-2294-6349
스타벅스 왕십리역,4.0,43.0,서울 성동구 왕십리로 326,1522-3232
숙성시대 왕십리점,4.2,95.0,"서울 성동구 왕십리로 410 센트라스 L동 129~130,232호",02-598-9556
패티패티,4.4,277.0,서울 성동구 아차산로13길 33,010-8537-8292
텐바,4.5,280.0,서울 성동구 연무장길 41-22 1층,070-8648-1162
텐동식당,3.4,213.0,서울 성동구 연무장5가길 20-1 1층,02-6339-0309
전통숯불꼼장어,3.8,57.0,서울 성동구 아차산로 116 1층,02-497-9281
키친우라와,4.5,40.0,서울 성동구 난계로 61 지층,0507-1389-2352
희정보감족,3.9,31.0,서울 성동구 상원2길 1,02-6085-6452
한양대신닭발,4.5,62.0,서울 성동구 마조로 34 1층,070-8111-2588
야키토리나루토 성수점,4.9,142.0,서울 성동구 왕십리로14길 12 1층,02-464-6835
지금이밤 성수본점,4.6,205.0,"서울 성동구 성수이로 127 2층 202,203호",0507-1315-5511
스타벅스 성수역점,3.7,68.0,서울 성동구 성수이로 94,1522-3232
봉짬뽕,3.6,18.0,서울 성동구 성수일로11길 11,02-466-8506
짬뽕위에더짬뽕 본점,3.3,35.0,서울 성동구 서울숲6길 21,02-6010-3323
꾸아 서울숲역점,3.4,87.0,서울 성동구 왕십리로 94-2 2층,02-463-8447
등촌샤브칼국수 왕십리역점,5.0,153.0,서울 성동구 무학로2길 39,02-2281-0783
빈플래토,3.8,31.0,서울 성동구 한림말5길 19,
육품,4.5,41.0,서울 성동구 뚝섬로 385-32 1층,02-462-1131
신금호숯불갈비,4.4,41.0,서울 성동구 무수막길 89 2층,02-2234-3043
이태리차차,3.6,144.0,서울 성동구 연무장길 14-5 1층,02-465-8893
태양곱창 성수,4.4,187.0,서울 성동구 연무장7길 8-1 1층,0507-1384-1648
타이파,4.9,504.0,서울 성동구 마조로 24 지하1층,0502-5550-9496
램플러스 한양대직영점,3.8,19.0,서울 성동구 마조로 27 1층,02-2281-0405
마장동황귀닭곰탕백반,4.0,22.0,서울 성동구 마장로 310 1층,02-2293-1344
신숯불탁탁,4.5,48.0,서울 성동구 고산자로24길 12-1 3층,02-2299-4987
서울바나나,3.2,135.0,서울 성동구 왕십리로5길 11 1층 101호,02-498-0705
호호국수,4.6,15.0,서울 성동구 왕십리로24길 31 1층 101호,02-2298-6727
Bored&Hungry,4.3,592.0,서울 성동구 성수이로12길 17-1 1층,02-467-8638
라무진 성수점,3.5,114.0,서울 성동구 아차산로7길 28 성수쇼핑센타 1층 8.20호,02-463-1001
차일디쉬,3.9,545.0,서울 성동구 연무장길 114 2층,
묘사서울,3.3,435.0,서울 성동구 서울숲2길 2 2층,
후후베이크,4.5,98.0,서울 성동구 상원1길 13 1층,02-466-9609
높은산,4.7,230.0,서울 성동구 성수이로 18-1 1층,0507-1328-8194
고기를품다 본점,4.5,264.0,서울 성동구 왕십리로 291-2 1층,
바르미스시샤브 왕십리점,3.3,177.0,서울 성동구 왕십리광장로 17 왕십리역 4층,02-2200-1211
만나떡볶이,4.0,52.0,서울 성동구 왕십리로24길 27,
금호모소리,4.2,128.0,서울 성동구 장터길 32 1층,02-2282-2728
노바일식,4.6,14.0,서울 성동구 금호산길 58 2층,02-2238-0151
스시도쿠 카미동,4.3,335.0,서울 성동구 왕십리로 295 2층,070-4495-0098
소문난맛함흥냉면전문점,3.7,15.0,서울 성동구 무학봉16길 1 1층,02-2299-5537
봉밀가 행당점,4.7,15.0,서울 성동구 고산자로 164 한신상가 지하 1층 5호,070-4411-1004
뵈르뵈르,3.3,472.0,서울 성동구 연무장7길 8 1층,
종로계림닭도리탕 왕십리점,3.8,20.0,서울 성동구 무학로2길 35 2층,02-2282-7730
쿠키샾,4.0,237.0,서울 성동구 아차산로 84 1층,
가마루빚은고등어,3.6,63.0,서울 성동구 왕십리광장로 17 4층,
띵똥와플 본점,4.3,184.0,서울 성동구 마조로1길 32 1층,02-2281-8184
모찌모찌브레드 옥수본점,3.9,18.0,서울 성동구 한림말3길 14 1층,02-762-0202
오뚜기식품,3.6,55.0,서울 성동구 아차산로11길 27 1층,02-465-5957
쪽선생쪽돼지,4.1,48.0,서울 성동구 용답29길 15-1 1층,02-3390-5705
봉평메밀면사무소 서울숲점,4.5,39.0,서울 성동구 왕십리로8길 8 2층 202호,02-499-2111
열기,4.6,236.0,서울 성동구 광나루로 302 거화빌딩,070-8826-9293
지니어스커피바,4.0,14.0,서울 성동구 독서당로 290-1 나동 1~3층,02-2297-6232
왕십리닭내장탕,4.3,80.0,서울 성동구 무학로2길 11 1층,02-2295-9535
꿩칼국수 행당1호점,4.6,12.0,서울 성동구 무학봉26길 9-1 1층,02-2292-2876
계월곰탕,3.5,69.0,서울 성동구 성덕정3길 8 1층,070-8703-0310
울루울루,3.9,132.0,서울 성동구 상원6나길 7 1층,
타크,4.3,147.0,서울 성동구 서울숲4길 16 성수야드 2층,0507-1373-0819
쏘티,4.9,163.0,서울 성동구 성덕정15길 12 길끝 뚝도시장 입구앞 파란외부와 조경,02-497-0101
뚝섬해물탕,3.1,33.0,서울 성동구 성덕정19길 3,02-497-4889
유어네이키드치즈,3.9,325.0,서울 성동구 왕십리로10길 6 서울숲비즈포레 105호,02-2124-0924
가조쿠,4.0,182.0,서울 성동구 연무장길 31-2 1층,
헤우,4.9,52.0,서울 성동구 성덕정17길 4 2층,010-7292-3315
