이름,서브카테고리,평점,리뷰수,주소,위도,경도,전화번호,메뉴,영업시간
타워차이 본점,중국요리,4.3,48,"서울 강남구 언주로30길 26 타워팰리스스포츠클럽반트 1층
(지번) 도곡동 467-29",37.48776325,127.0525302,02-2057-7007,"A코스 (35,000원), B코스 (45,000원)",매일 11:30 ~ 22:00 · 휴게시간 매일 15:00 ~ 17:30
참족,한식,4.1,36,"서울 강남구 도곡로2길 14 1층
(지번) 도곡동 946-10",37.4887512,127.0331489,02-577-5772,"회식세트(3인) (94,000원), 연인세트(2인) (57,000원), 명품수제참족발(앞다리) (48,000원), 매운모듬족발(대) (48,000원), 갈비모듬족발(대) (48,000원), 매운석쇠직화족발(대) (48,000원), 갈비석쇠직화족발(대) (48,000원), 웰빙냉채참족발 (48,000원), 유동골뱅이날치알쟁반막국수 (30,000원), 양푼비빔막국수 (7,000원), 양푼참기름막국수 (7,000원), 셀프날치알주먹밥 (4,000원), 바삭감자전 (15,000원)",일요일
뱅뱅막국수 역삼본점,국수,4.4,248,"서울 강남구 도곡로 112 서한빌딩 1층 103호
(지번) 도곡동 943-2",37.48965374,127.0328391,0507-1392-4848,메뉴 없음,매일 11:00 ~ 21:00 · 휴게시간 매일 15:00 ~ 16:30
이모네정육식당,"육류,고기",4.4,14,"서울 강남구 일원로9길 38 1층
(지번) 일원동 666-7",37.49011161,127.084682,02-451-5430,"꽃등심 (100g) (16,900원), 채끝등심 (100g) (15,900원), 안심 (100g) (21,500원), 갈비살 (100g) (16,900원), 지리산 흑돼지 삼겹살 (100g) (6,200원)","월,화,수,목,금,일 11:00 ~ 22:30 · 휴게시간 월,화,수,목,금,일 14:00 ~ 16:30"
명동관,한식,4,176,"서울 강남구 남부순환로 2912 그랑프리앤상가 지하 103호
(지번) 대치동 500",37.49070599,127.0561429,02-563-8882,"명품한상 (49,000원), 명동관정식 (27,000원), 전복갈비찜 (중) (120,000원), 샤브샤브 (1인) (27,000원), 전복갈비탕 (23,000원), 갈비탕 (19,000원), 소고기 샤브샤브(1인) (27,000원), 만두전골(1인) (22,000원), 보쌈정식(1인) (19,000원), 명동관칼국수 (12,000원), 전복갈비찜 (대) (15,000원), 능이갈비탕 (26,000원), 전복능이갈비탕 (32,000원), 보쌈정식 (19,000원), 제육볶음 (13,000원), 뚝배기불고기 (16,000원), 꼬막비빔밥 (15,000원), 떡만두국 (15,000원), 돌솥비빔밥 (15,000원), 수제왕만두(5알) (12,000원)",매일 11:00 ~ 21:30
윤화돈까스,"돈까스,우동",3.5,162,"서울 강남구 도곡로 221 셀라빌딩 1층
(지번) 역삼동 787-12",37.49338496,127.0430425,02-3463-0863,"돈까스 (14,000원), 반반까스 (15,000원), 윤화정식 (16,000원), 돼지함박까스 (15,000원), 소함박까스 (16,000원), 제육볶음 (17,000원), 생선까스 (15,000원), 고구마치즈까스 (14,000원), 치즈까스 (14,000원), 치킨까스 (14,000원), 갈비탕 (16,000원), 피쉬앤칩스 (19,000원), 야채추가 (1,000원), 공기밥 추가 (1,000원), 고추 추가（3개） (1,000원), 마카로니 추가 (2,000원), 스프 (500원), 된장국 (500원), 코카콜라 500ml (3,000원), 스프라이트 500ml (3,000원)",매일 11:00 ~ 21:00 · 휴게시간 매일 15:00 ~ 17:00
대려도,중국요리,3.8,98,"서울 강남구 역삼로 118 2층
(지번) 역삼동 833",37.49343157,127.03218,02-555-0550,"삼선짬뽕 (14,000원), 삼선백짬뽕 (14,000원), 게살볶음밥 (16,000원), 광동탕수육(S) (39,000원), 삼선짜장면 (12,000원), 삼선볶음밥 (14,000원), 유림기(S) (39,000원), 전가복(S) (65,000원), 어향동고(S) (47,000원)",매일 11:30 ~ 22:00 · 휴게시간 매일 15:00 ~ 17:30
한방삼계탕,삼계탕,3.2,68,"서울 강남구 강남대로 342
(지번) 역삼동 831-18",37.49368428,127.0302202,02-564-9922,"남성건강삼계탕 (16,000원), 여성미용삼계탕 (16,000원), 산삼삼계탕 (19,000원), 활전복삼계탕 (21,000원), 뼈없는 닭죽 (16,000원)","토,일 10:30 ~ 21:00"
풍년집 역삼본점,"육류,고기",4.3,23,"서울 강남구 역삼로14길 13
(지번) 역삼동 792-2",37.49375049,127.0357739,02-539-9886,"참숯불소갈비살 (19,000원)",매일 11:00 ~ 24:00
송희네족발 강남본점,"족발,보쌈",4.1,17,"서울 강남구 역삼로 138 1층
(지번) 역삼동 834-45",37.494267,127.0346878,02-508-7992,메뉴 없음,"토,일 04:00 ~ 24:00"
호남마을,삼겹살,3.9,110,"서울 강남구 역삼로7길 2
(지번) 역삼동 829-13",37.49434564,127.0334792,02-556-7701,"삼겹살 (19,000원), 대패삼겹살 (18,000원), 감자탕(소) (40,000원), 우렁해물된장찌개 (10,000원)",매일 00:00 ~ 24:00 · 휴게시간 매일 15:00 ~ 17:00 · 휴게시간 매일 08:00 ~ 11:00
아방궁,중국요리,3.6,101,"서울 강남구 역삼로1길 18 2층
(지번) 역삼동 831-32",37.49443318,127.0306312,02-568-0772,"강남짜장 (9,000원), 간짜장 (10,000원), 삼선짜장면 (11,000원), 강남짬뽕 (10,000원), 짬뽕밥 (10,000원), 삼선짬뽕 (13,000원), 수제비짬뽕 (13,000원), 쟁반짜장(2인) (22,000원), 삼선우동 (13,000원), 군만두 (7,000원), 물만두 (7,000원), 옛날볶음밥 (10,000원), 마파밥 (11,000원), 잡채밥 (12,000원), 삼선볶음밥 (11,000원), 유산슬밥 (18,000원), 잡탕밥 (20,000원), 차돌짬뽕 (13,000원)",매일 00:00 ~ 24:00
쉼스토리,테마카페,4.4,47,"서울 강남구 역삼로3길 17 혜진빌딩 3층
(지번) 역삼동 831-35",37.49460626,127.0309889,070-7778-6441,"아메리카노 (가격정보 없음), 카모마일 (가격정보 없음), 루이보스 (가격정보 없음), 페퍼민트 (가격정보 없음), 국화차 (가격정보 없음)",매일 10:00 ~ 22:30
왓쇼이켄,일본식라면,4.3,246,"서울 강남구 테헤란로4길 46 쌍용플래티넘밸류상가 지하1층 B120호
(지번) 역삼동 826-37",37.49554814,127.0300647,02-508-5127,"돈코츠라멘!사골) (9,000원), 돈코츠쇼유라멘(간장) (10,000원), 코카이돈코츠라멘 (10,000원), 아까라멘(매운) (9,000원), 미소라멘(된장) (9,500원), 쇼유라멘(간장) (9,000원), 시루나시탄탄멘(비빔) (11,000원), 마제소바(비빔) (11,000원)",일요일
오무라안,"돈까스,우동",3.5,69,"서울 강남구 논현로79길 66
(지번) 역삼동 828-55",37.49615655,127.0335794,02-569-8610,"가케 (8,000원), 가츠동 (12,000원), 가츠나베 (12,000원), 돈카츠 (12,000원), 오야코동 (13,000원), 규동 (15,000원), 모듬텐동 (13,000원), 에비텐동 (13,000원), 이카텐동 (12,000원), 특우나쥬동 (40,000원), 덴뿌라 (13,000원), 카레남방 (10,000원), 나베야키우동 (12,000원), 김치우동 (11,000원), 야마가케 (12,000원), 카시와남방 (10,000원), 가키다마 (9,000원), 오무라안샐러드 (17,000원), 언어샐러드 (20,000원), 해플샐러드 (25,000원), 타코와사비 (10,000원), 문어초회 (18,000원)","토,일요일"
국제수입식당,삼겹살,3.2,238,"서울 강남구 논현로79길 62 지하1층
(지번) 역삼동 828-52",37.49627582,127.0339573,02-554-5477,"국제왕돈가스（청정 제주돼지로 만든） (11,000원), 국제왕돈가스 찌개정식 (17,000원), 국제왕돈가스 오뎅우동정식 (17,000원), 국제왕돈가스 냉면정식 (17,000원), 공기밥 (1,000원), 돼지김치찌개 (6,000원), 우렁된장찌개 (6,000원), 바지락순두부찌개 (6,000원), 오뎅우동 (6,000원), 물냉면 (6,000원), 비빔냉면 (6,000원), 공기밥 (1,000원), 왕돈가스 1장 추가 (8,000원), 공기밥 추가 (1,000원), 양배추샐러드 추가 (1,000원), 마카로니 추가 (1,000원), 단무지 추가 (1,000원), 김치 추가 (1,000원)",매일 11:00 ~ 23:00
껠끄쇼즈,디저트카페,3.9,224,"서울 강남구 도곡로70길 5
(지번) 대치동 1023-19",37.49699281,127.0566219,,"마카롱(3개) (11,500원), 마카롱(6개) (23,800원), 마카롱(12개) (45,300원), 마카롱(1개) (3,400원)","월,목,금,토,일 12:30 ~ 19:30"
영동껍데기,"육류,고기",3.3,66,"서울 강남구 강남대로84길 32 성동빌딩 1층
(지번) 역삼동 827-45",37.49703714,127.0311415,02-568-9592,"소금구이(200g) (15,000원), 삼겹살(200g) (16,000원), 항정살(180g) (16,000원), 가브리살(180g) (13,000원), 껍데기(150g) (8,000원), 냉동삼겹살(160g) (13,000원)",
우동명가 기리야마본진,"돈까스,우동",3.9,329,"서울 강남구 강남대로84길 23 한라클래식 지하1층
(지번) 역삼동 824-11",37.49712987,127.0303844,02-567-0068,"스시나베우동 (26,000원), 스시김치나베우동 (27,000원), 스시우동 (22,000원), 스시자루우동 (22,000원), 규동하프우동 (21,000원), 규동하프자루 (21,000원)",일요일
달콤한인생,"제과,베이커리",4.9,48,"서울 강남구 테헤란로14길 31 1층
(지번) 역삼동 741-7",37.49733153,127.0339516,02-554-8184,"미니케이크 (40,000원), 도시락케이크 (25,000원)",일요일
다온정,한정식,4.1,219,"서울 강남구 테헤란로14길 16 라인빌딩 지하2층
(지번) 역삼동 823-30",37.49827315,127.0330829,02-561-3955,"홍어삼합 (중) (60,000원), 장흥삼합 (중) (80,000원), 전복갈비찜 (중) (50,000원), 辛매운갈비찜 (중) (50,000원), 담양떡갈비 (50,000원), 숯불고기 (50,000원), 군산간장게장 (65,000원), 광주육전(2~3인) (45,000원), 키조개관자전(2~3인) (40,000원), 홍어전(2~3인) (40,000원), 대구전(2~3인) (35,000원), 굴전(2~3인) (40,000원), 모듬전(3~4인) (80,000원)","토,일 11:00 ~ 21:00 · 휴게시간 매일 15:00 ~ 17:00"
그릴640,"육류,고기",4.6,136,"서울 강남구 테헤란로16길 13 동원빌딩 1층
(지번) 역삼동 735-25",37.49867869,127.0340672,02-554-0640,"한우(1++)숙성 안심 (43,000원), 한우(1++)숙성등심 (41,000원), 640 소 모둠2인SET 400g (98,000원), 640즐기기 돼지 SET 600g (59,000원), 숙성 스테이크 목살 180g (17,000원), 숙성 삼겹살 180g (17,000원), 숙성 항정살 150g (18,000원)",일요일
고갯마루,닭요리,3.9,179,"서울 강남구 테헤란로28길 27 1층
(지번) 역삼동 725-12",37.49939864,127.0394184,02-534-6765,"닭도리탕 (소) (30,000원), 오리주물럭 (35,000원), 오리불고기 (35,000원), 황기삼계탕 (14,000원), 황기닭곰탕 (7,000원)","토,일요일"
강남진해장,"찌개,전골",3.3,578,"서울 강남구 테헤란로5길 11 유빌딩 1층
(지번) 역삼동 819-4",37.49949484,127.029264,02-557-2662,"양선지해장국 (11,000원), 내장탕 (14,000원), 진얼큰탕 (13,000원), 곱창전골 (중) (62,000원), 갈비곱창전골 (중) (65,000원), 양지곰탕 (11,000원), 사골곰탕 (11,000원), 모듬전골(중) (75,000원), 수육(중) (40,000원)",일 00:00 ~ 21:30
할매재첩국,"해물,생선",3.9,84,"서울 강남구 삼성로 308 1층
(지번) 대치동 988-2",37.49966743,127.0608211,02-501-6667,"재첩정식 (15,000원), 재첩덮밥 (20,000원), 재첩진국 (20,000원), 꼬막비빔밥 (20,000원), 재첩무침 (55,000원), 막회무침 (70,000원), 부산막회 (130,000원), 부산사시미(1인) (85,000원), 멸치회 (55,000원), 멸치찌개 (55,000원), 과메기 (55,000원), 명품물회 (45,000원), 물회국수 (25,000원), 전어회 (변동가격), 전어구이 (변동가격)",화~일 10:00 ~ 22:00 · 휴게시간 화~일 15:00 ~ 16:30
차슈밍,중국요리,4.7,297,"서울 강남구 강남대로94길 21 지하1층
(지번) 역삼동 818-8",37.49972431,127.0289661,02-3473-8812,"짜장면 (8,000원), 짬뽕 (9,000원), 삼선간짜장 (11,000원), 매운삼선간짜장 (11,000원), 탕수육 (22,000원), 깐쇼중새우 (34,000원), 깐풍기 (27,000원)","토,일 11:00 ~ 22:30 · 휴게시간 토,일 15:30 ~ 17:00"
빌즈 강남,양식,3.2,461,"서울 강남구 테헤란로 142 아크플레이스 2층
(지번) 역삼동 736-1",37.49974405,127.0349548,02-568-1353,"신선한 생 오렌지 주스+생강주스 (13,000원), 아뮤니티샷+석류, 레드커런트, 생강, 꿀 (5,000원), 그련저 그린 (13,000원), 빌즈비트 (13,000원)",매일 10:30 ~ 22:00
마초야,"돈까스,우동",3.4,149,"서울 강남구 역삼로64길 18 1층
(지번) 대치동 920-15",37.49989138,127.0530396,02-6012-9057,"돈등심카츠 (12,000원), 모듬카츠 (15,000원), 토리텐붓카케우동（냉） (11,000원), 붓카케우동（냉）정식 (13,500원), 자루우동（냉） (10,000원), 규동 (11,000원), 가라아게동 (11,000원), 토리텐우동（온） (11,000원), 에비덴우동（온） (11,000원), 에비덴뿌라우동 (온) 정식 (15,000원), 킹새우카츠 (12,500원), 텐붓카케우동（냉） (11,000원), 에비동 (11,000원), 토리텐우동 (온) 정식 (15,000원), 새우튀김 2p (4,000원), 고구마 치즈 고로케 2p (4,000원), 닭튀김 (4,000원), 유부초밥 9p (6,000원), 모짜렐라치즈고로케 3p (6,000원), 공기밥 (1,000원), 돈까스소스추가 (300원), 양배추샐러드추가 (500원), 덴뿌라 (5,000원), 냉우동쯔유추가 (1,000원), 콜라 (2,500원), 사이다 (2,500원), 유부초밥3p (10원), 대관컵사케 (5,000원), 고래컵사케 (5,000원)",매일 11:30 ~ 21:00 · 휴게시간 매일 15:00 ~ 16:30
바게트케이,"제과,베이커리",3.8,287,"서울 강남구 테헤란로34길 21-10 1층
(지번) 역삼동 723-30",37.5002939,127.0414458,02-567-9501,"브리 샌드위치 (11,000원), 터키햄 샌드위치 (12,000원), 햄&치즈 샌드위치 (11,000원), 연어 샌드위치 (13,000원), 살라미 샌드위치 (13,000원), 하몽 샌드위치 (12,000원), 잠봉뵈르 (14,000원), 몽쥐바게트 (4,500원), 말제르브 바게트 (5,500원), 바나나푸딩 (5,000원)",매일 06:30 ~ 19:30
마구로젠,참치회,4.2,46,"서울 강남구 논현로86길 32 삼우빌딩 1층
(지번) 역삼동 725-24",37.50033934,127.0400545,02-573-2777,"특 코스 정식 (1인) (39,000원), 마구로 젠 골드 (1인) (80,000원), 코스 정식 (1인) (29,000원), 마구로 젠 사파이어 (1인) (100,000원), 마구로 젠 VIP (1인) (150,000원), 참다랑어정식 (49,000원), 대구탕 (11,000원), 알밥 (10,000원), 특회덥밥 (13,000원), 회덥밥 (10,000원), 참다랑어 회덮밥 (20,000원), 젠초밥 (18,000원), 로얄초밥 (25,000원), 특초밥 (35,000원)",일 17:00 ~ 21:40
알부자 강남본점,"해물,생선",3.6,676,"서울 강남구 강남대로98길 14 재상빌딩 1-2층
(지번) 역삼동 817-34",37.5006938,127.0278437,02-508-4629,"알전골 (소) (44,000원), 알찜 (소) (44,000원), 특선알탕 (15,000원), 알찜 (중) (54,000원), 알찜 (대) (64,000원), 알전골 (중) (54,000원), 알전골 (대) (64,000원), 알추가 (17,000원), 고니추가 (17,000원)",일 10:00 ~ 21:30
고향마을,한식,4.3,26,"서울 강남구 테헤란로21길 6
(지번) 역삼동 646-22",37.50069893,127.034653,02-552-9151,"수육 (38,000원), 제육보쌈 (34,000원), 해물파전 (17,000원), 녹두빈대떡 (15,000원), 안주만두탕 (18,000원)",매일 10:00 ~ 22:30
돝고기506,삼겹살,3.5,361,"서울 강남구 테헤란로 145 지하1층
(지번) 역삼동 646-15",37.50071274,127.0351927,02-6933-9506,"A506 숙성돼지고기 삼겹살 (150g) (19,000원), D806 숙성돼지고기 삼겹살 (150g) (22,000원), I506 숙성돼지고기 목살 (150g) (19,000원), 항정살 (150g) (19,000원), 늑간살 (150g) (19,000원), 한우육회 (35,000원), 차돌박이 (31,000원), 한우육회비빔밥 (15,000원), 제육쌈밥 (15,000원), 김치찌개 (10,000원), 트러플크림볶음밥 (14,000원), 크림볶음밥 (10,000원), 계란찜 (7,000원)",매일 11:30 ~ 22:00 · 휴게시간 매일 15:00 ~ 17:00
브라운홀릭,커피전문점,3.3,156,"서울 강남구 강남대로98길 25 1층
(지번) 역삼동 620-15",37.50108346,127.0286652,02-555-5978,"아메리카노 (5,500원), 카페라떼 (6,000원), 바닐라라떼 (6,500원), 후추커피 (6,500원), 에스프레소 (4,000원), 얼그레이라떼 (6,500원), 밀크티 (6,500원), 초코라떼 (6,500원), 청귤티 (6,500원), 오렌지 루이보스 (6,000원), 민트블랜드 (6,000원), 스윗 로제 캐모마일 (6,500원), 콜드브루 (6,000원), 청귤에이드 (6,500원)","토,일 10:00 ~ 22:00"
이백,한식,3.6,192,"서울 강남구 언주로85길 14
(지번) 역삼동 720-22",37.50126177,127.0419549,02-564-0206,"먹태 (20,000원), 육.문.골 세트(2~3인) (72,000원), 문어라면 (12,000원), 50cm 한우육회초밥 (30,000원), 한석화 석화 (28,000원), 육전 (30,000원), 제철조개탕 (25,000원), 생굴한접 (23,000원), 육회(150g) (28,000원), 문어숙회 (35,000원), 문어무침 (35,000원), 골뱅이숙회 (35,000원), 골뱅이무침 (35,000원), 육회사시미세트 (52,000원), 아보카도연어사시미 (35,000원), 골뱅이오뎅탕 (42,000원), 우동사리추가 (2,000원), 매운치즈뚝불 (11,000원), 전복갈비찜 (58,000원), 보리굴비한마리 (15,000원), 매운뚝배기불고기 (9,500원), 한우육회비빔밥 (14,000원), 통영멍게비빔밥 (12,000원)","토,일요일"
봉우이층집,"육류,고기",3.8,605,"서울 강남구 봉은사로18길 76 2층
(지번) 역삼동 619-14",37.50179151,127.0273983,02-553-8454,"통삼겹 (150g) (14,000원), 통목살 (150g) (15,000원), 항정살 (150g) (16,000원), 눈꽃살 (150g) (29,000원)",매일 11:30 ~ 23:00
홍운장,중국요리,3.4,46,"서울 강남구 삼성로 341 1층
(지번) 대치동 913-14",37.50189162,127.0589222,02-558-3888,"옛날짜장 (8,500원)",화~일 11:30 ~ 21:00
통영집,회,4.1,19,"서울 강남구 논현로 511 YandC빌딩 지하 1층
(지번) 역삼동 641-20",37.50223052,127.0359594,02-508-3330,"물회정식 (19,000원), 회정식_점심 (29,000원), 계절회무침 (35,000원), 물메기탕 (19,000원), 도다리쑥국 (19,000원), 모듬회(1인)저녁 (39,000원), 생대구탕 (18,000원), 민어탕 (32,000원)",일요일
로얄마카롱,디저트카페,4.4,58,"서울 강남구 테헤란로25길 26 상준빌딩 3층
(지번) 역삼동 641-15",37.50226841,127.0354955,070-4110-2000,"로얄크리미카노 (4,500원), 아메리카노 (3,000원), 카페라떼 (3,500원), 바닐라라떼바 (3,800원), 샷 그린티라떼 (4,800원)",매일 08:30 ~ 23:00
